CO_U_6,0.0%0.12%0.16%,0.0%0.03%0.08%,0.02%0.19%0.27%,0.0%0.0%0.0%,-0.01%0.0%0.03%,0.0%0.0%0.0%,0.0%0.0%0.0%,0.0%0.0%6.98%,0.0%0.0%0.03%,0.14%0.19%3.69%,0.0%0.0%16.47%,0.0%0.0%1.27%,2.96%3.76%4.84%,3.34%4.08%33.78%
DC_S_4,0.0%0.0%0.1%0.28%0.61%1.09%2.1%3.27%44.03%,0.0%0.18%0.49%0.71%0.93%1.38%1.82%3.3%9.3%,0.0%0.1%0.17%0.25%0.34%0.43%0.53%0.82%3.69%,0.0%0.0%0.0%0.0%0.0%0.0%3.0%18.21%49.24%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%5.13%42.24%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%1.47%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%1.51%,0.0%0.0%0.52%1.11%3.36%6.75%8.18%20.93%45.96%,0.0%0.0%0.0%0.0%0.08%0.38%1.67%4.88%45.89%,0.09%0.48%0.86%1.68%2.29%2.76%4.27%6.02%9.27%,0.0%0.0%0.0%0.06%0.32%0.69%1.34%2.11%8.29%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.15%3.57%,0.0%0.0%0.0%1.24%1.84%2.42%3.36%4.58%8.61%,8.97%11.8%15.27%18.69%23.62%28.71%35.24%83.36%199.23%
AK_A_4,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.07%0.21%0.31%,0.0%0.65%0.88%0.97%1.28%1.28%1.45%1.53%3.2%4.77%,0.0%0.08%0.34%0.38%0.79%1.22%1.34%1.65%1.74%2.21%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.1%1.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.05%0.14%0.43%,0.0%0.0%0.0%0.29%0.7%0.81%1.18%3.58%7.75%22.3%,0.0%0.0%0.0%0.04%0.06%0.28%0.39%0.44%0.95%6.24%,0.0%0.0%0.04%0.56%0.6%0.85%0.88%3.47%3.77%5.5%,0.0%0.0%0.0%0.0%0.0%0.6%0.71%0.88%2.12%2.47%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.56%,0.0%0.0%1.63%2.84%3.91%3.93%5.43%6.29%7.32%7.98%,3.47%3.98%7.01%8.06%11.53%16.08%17.25%19.65%19.89%28.5%
AK_A_2,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.19%0.74%,0.0%0.0%0.0%0.0%0.0%0.0%0.36%0.58%0.67%0.72%1.98%2.06%4.41%6.4%6.61%7.4%9.8%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.74%0.93%1.12%1.15%1.39%1.54%2.81%4.52%8.63%9.72%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%2.67%29.66%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.18%2.41%12.55%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.33%0.69%1.12%7.38%16.8%17.64%35.26%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.31%1.75%2.11%3.05%5.76%6.29%6.57%8.23%10.92%13.9%,0.0%0.0%0.0%0.0%0.0%0.0%0.1%0.1%0.33%0.35%0.44%0.74%2.62%3.74%6.72%7.95%10.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.47%0.62%1.44%1.89%3.11%4.22%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%1.36%8.37%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%2.22%3.89%6.46%,0.0%0.0%2.42%2.78%8.14%8.75%9.28%10.74%15.32%16.83%21.06%27.48%27.82%31.69%36.92%50.84%57.11%
AK_A_1,0.0%0.0%0.0%0.0%0.0%0.0%0.63%15.22%33.33%,0.0%0.0%0.0%0.0%2.0%6.6%7.01%12.0%12.47%,0.0%0.0%0.0%0.0%4.52%5.98%9.81%11.25%12.89%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%457.62%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%1.11%10.31%,0.0%0.0%0.34%1.67%16.81%19.18%19.22%28.87%1209.93%,0.0%0.0%0.0%1.18%1.9%4.82%5.32%5.43%6.26%,0.0%0.26%2.45%4.05%4.61%5.27%5.29%7.02%397.64%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.09%4.4%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,13.15%18.53%20.15%22.77%26.49%36.02%52.53%53.45%2111.65%
AK_A_3,0.0%0.0%0.0%0.0%0.0%0.0%0.03%,0.0%0.0%0.43%0.98%1.5%2.03%2.83%,0.26%0.92%1.13%1.71%2.28%2.82%3.73%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.01%0.68%5.76%15.97%18.54%,0.0%0.12%0.72%1.5%2.1%3.48%5.24%,0.0%0.16%0.53%1.39%1.8%3.65%4.52%,0.0%0.0%0.0%0.0%0.0%0.21%0.66%,0.0%0.0%0.0%0.0%0.0%0.0%0.28%,0.0%0.0%0.0%0.0%1.06%3.07%7.83%,7.79%9.68%10.87%15.06%19.27%22.7%33.63%
AK_A_5,0.0%0.0%0.1%0.13%0.76%,0.23%0.46%0.8%0.84%1.0%,0.32%0.39%0.53%1.04%1.39%,0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.25%0.35%0.47%,0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.01%2.64%,0.58%1.15%2.44%8.75%30.51%,0.0%0.04%0.67%1.97%2.34%,0.37%1.1%1.22%2.44%5.2%,0.0%0.02%0.09%1.51%4.15%,0.0%0.0%0.0%0.23%0.32%,0.0%0.24%3.15%3.32%6.41%,5.38%12.96%13.7%25.01%32.86%
AK_B_4,0.0%0.0%0.0%0.0%0.0%0.01%0.06%0.1%0.11%0.41%0.45%1.04%8.07%,0.0%0.0%0.38%0.43%0.47%0.52%0.6%0.83%2.55%3.49%3.53%3.91%7.32%,0.34%0.39%0.45%0.45%0.65%0.72%0.77%1.04%1.29%1.8%2.88%3.13%3.6%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%1.09%4.5%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%1.91%2.56%2.73%2.84%2.84%3.61%5.47%8.31%8.89%9.35%,0.0%0.0%0.0%0.0%0.07%0.18%0.2%0.33%0.35%0.47%1.35%1.59%2.38%,0.0%0.0%0.0%0.0%0.0%0.3%0.44%1.15%1.24%3.13%3.15%3.99%6.99%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.02%0.13%0.24%1.86%2.36%2.97%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.0%0.09%4.85%,0.51%0.76%1.34%1.66%1.76%2.0%2.24%4.74%4.83%5.85%7.88%9.63%9.69%,6.31%6.42%6.46%11.95%12.12%12.84%15.28%15.91%16.24%18.59%20.24%28.06%28.21%
AK_B_5,0.02%,0.45%,0.98%,0.00%,0.00%,0.00%,0.00%,12.94%,0.00%,1.57%,0.26%,0.81%,8.77%,25.81%
AK_B_3,0.0%0.0%0.0%0.0%0.0%0.0%0.08%,0.0%0.22%0.81%0.87%1.03%2.23%3.07%,0.0%0.31%0.61%1.06%1.23%1.96%3.37%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%0.0%0.0%,0.0%0.0%0.0%0.0%0.0%3.26%7.02%,0.0%0.0%0.0%0.15%0.44%1.56%2.05%,0.35%0.62%0.77%1.56%2.16%2.9%3.39%,0.0%0.0%0.0%0.0%0.0%0.21%0.92%,0.0%0.0%0.0%0.0%0.0%0.0%0.28%,0.0%0.0%0.0%0.0%0.09%2.75%9.49%,0.6%4.02%7.54%8.85%13.68%17.08%22.84%
